Time,FCC.TIC1303.PV.csv,FCC.PI1301.PV.csv,FCC.FIC1311.PV.csv,FCC.TIC1402.PV.csv,FCC.TIC1402-1.PV.csv,FCC.FI1400.PV.csv,FCC.FIC1402-1.PV.csv,FCC.FVC1402.PV.csv,FCC.TI1419.PV.csv,FCC.LIC1404.PV.csv,FCC.TI1418.PV.csv,FCC.PDI1414.PV.csv,wdqy
2021/3/18 7:00,0,0,0,0,0,0,0,0,0,0,0,0,200.5
2021/3/18 17:00,0,0,0,0,0,0,0,0,0,0,0,0,200.5
2021/3/19 7:00,129.0019,0.1922065,0,165.5227,165.5299,0,80.67735,80.72236,159.5167,45.57652,159.3163,0,202
2021/3/19 17:00,129.3374,0.1926535,0,166.0019,165.9805,0,81.88919,82.05991,159.9677,46.52079,159.7923,110.1615,199
2021/3/20 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198.5
2021/3/20 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/3/21 7:00,129.1244,0.1920574,0,164.7574,164.9147,0.3293586,81.95831,81.91245,158.9404,49.61925,158.8402,0,197.5
2021/3/21 17:00,129.3849,0.1921528,0,166.0091,166.1521,0.3293586,81.98962,81.88773,160.3185,49.18806,160.1681,110.1711,198
2021/3/22 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199
2021/3/22 17:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/3/23 7:00,128.7753,0.1917594,0,164.929,164.929,0.3293586,80.09589,79.93468,159.0156,48.0377,158.9154,0,199
2021/3/23 17:00,128.9895,0.192874,0,167.9046,167.7973,0,80.00273,80.03625,162.398,47.50015,161.9972,110.1663,198.5
2021/3/24 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/3/24 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/3/25 7:00,132.1354,0.1913898,0,166.9318,166.9246,0.3293586,80.00808,80.0098,161.0701,50.32455,160.9949,0,198
2021/3/25 17:00,133.2316,0.1922541,0,169.8,169.5282,0.3293586,81.10326,80.87727,163.7009,50.69549,163.4503,110.1592,199
2021/3/26 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198.5
2021/3/26 17:00,0,0,0,0,0,0,0,0,0,0,0,0,202
2021/3/27 7:00,130.609,0.191968,0,167.7758,167.7758,0.3293586,80.97205,81.08987,161.922,49.79498,161.7465,0,203
2021/3/27 17:00,131.274,0.1914852,0,169.0418,169.0275,0.3293586,81.20683,81.0877,163.1246,51.61751,162.9742,110.1592,198.5
2021/3/28 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198.5
2021/3/28 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/3/29 7:00,130.7349,0.1916104,0,166.9246,167.1678,0.3293586,81.0835,80.97948,160.9699,49.66431,160.8947,0,201
2021/3/29 17:00,130.7497,0.1913422,0,166.6743,166.7172,0.3464343,81.08065,81.08168,160.8195,49.37539,160.7193,0,201.5
2021/3/30 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/3/30 17:00,0,0,0,0,0,0,0,0,0,0,0,0,200.5
2021/3/31 7:00,130.3732,0.1916879,0,168.0476,167.9117,0.3293586,81.06965,81.15504,161.7465,46.13099,161.6213,110.1663,198.5
2021/3/31 17:00,131.6773,0.1918071,0,169.0347,169.1706,0,81.00275,81.06956,162.9492,47.05562,162.9492,110.1615,203
2021/4/1 7:00,0,0,0,0,0,0,0,0,0,0,0,0,202
2021/4/1 17:00,0,0,0,0,0,0,0,0,0,0,0,0,201
2021/4/2 7:00,130.8593,0.1908355,0,167.5469,167.5255,0,80.93947,80.88425,161.5963,48.2569,161.4459,0,202.5
2021/4/2 17:00,129.5019,0.1912289,0,166.1307,166.1879,0,81.10588,81.02727,160.4187,47.69416,0,0,203
2021/4/3 7:00,0,0,0,0,0,0,0,0,0,0,0,0,200.5
2021/4/3 17:00,0,0,0,0,0,0,0,0,0,0,0,0,200.5
2021/4/4 7:00,127.9896,0.1909011,0,166.1879,166.1951,0.3293586,80.85454,81.01447,160.3937,49.29817,160.2433,110.1639,204.5
2021/4/4 17:00,127.9994,0.1917117,0,168.2765,168.2622,0.3293586,80.67471,80.8462,162.373,44.39888,162.2477,110.1639,202.5
2021/4/5 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/4/5 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198.5
2021/4/6 7:00,128.359,0.1915627,0,166.6385,166.66,0,80.89986,80.95412,160.7694,46.86461,160.5941,0,200.5
2021/4/6 17:00,129.1228,0.1916521,0,167.0176,167.0534,0.3293586,81.02941,80.91872,161.3707,46.25386,0,110.1592,198.5
2021/4/7 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199
2021/4/7 17:00,0,0,0,0,0,0,0,0,0,0,0,0,200
2021/4/8 7:00,130.5022,0.190609,0,166.2952,166.2666,0,81.56662,81.53657,0,46.57396,160.2182,0,201.5
2021/4/8 17:00,131.3849,0.1910978,0,167.318,167.0963,0.3464343,81.44996,81.66402,161.4459,46.64959,0,110.1687,202
2021/4/9 7:00,0,0,0,0,0,0,0,0,0,0,0,0,201.5
2021/4/9 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/4/10 7:00,128.5265,0.1906984,0,165.3797,165.4154,0.3293586,81.08441,81.10658,159.4916,45.6342,0,110.1687,201.5
2021/4/10 17:00,128.0586,0.1905137,0,165.2867,165.2867,0.3464343,81.12385,81.1037,0,44.21249,159.3914,0,202
2021/4/11 7:00,0,0,0,0,0,0,0,0,0,0,0,0,202.5
2021/4/11 17:00,0,0,0,0,0,0,0,0,0,0,0,0,202.5
2021/4/12 7:00,128.4972,0.1907223,0,163.9992,164.1136,0.3464343,83.11504,83.06244,158.4393,46.25608,158.2639,110.1663,201
2021/4/12 17:00,127.979,0.1917296,0,167.0391,167.0176,0.3293586,81.95889,81.94537,0,47.16846,161.2455,110.1639,202.5
2021/4/13 7:00,0,0,0,0,0,0,0,0,0,0,0,0,200
2021/4/13 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/4/14 7:00,127.8479,0.1914733,0,165.8946,165.8875,0,81.96129,82.11052,0,45.29455,160.0428,0,198
