tag,collect_time,value,org_code
FCC.1LUSHUI.PH,2020-11-09 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-11-11 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-11-09 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-11-11 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-11-13 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-11-11 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-11-13 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-11-16 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-11-13 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-11-16 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-11-16 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-11-18 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-11-18 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-11-20 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-11-20 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-11-23 07:00:00,9.9,440100010001001
