序号,Name,TagNo,仪表描述,单位,量程上限,量程下限,SourceTag,CollectorName
231,HLU1_TH3125_PV,,THS3125A/TI3125D高选器,DEGC,600,0,TH3125.PV,RDI_HLU1
232,HLU1_TH3125W_PV,,（TI3125AW、BW、CW、DW高选）,DEGC,600,0,TH3125W.PV,RDI_HLU1
233,HLU1_TH3126_PV,,（TI3126A、B、C、D高选）,DEGC,600,0,TH3126.PV,RDI_HLU1
234,HLU1_TH3127_PV,,THS3127A/TI3127D高选器,DEGC,600,0,TH3127.PV,RDI_HLU1
235,HLU1_TH3127W_PV,,（TI3127AW、BW、CW、DW高选）,DEGC,600,0,TH3127W.PV,RDI_HLU1
236,HLU1_TH3128_PV,,（TI3128A、B、C、D高选）,DEGC,600,0,TH3128.PV,RDI_HLU1
237,HLU1_TH3129_PV,,,DEGC,600,0,TH3129.PV,RDI_HLU1
238,HLU1_TH3129W_PV,,（TI3129AW、BW、CW、DW高选）,DEGC,600,0,TH3129W.PV,RDI_HLU1
239,HLU1_TH3130_PV,,（TI3130A、B、C、D高选）,DEGC,600,0,TH3130.PV,RDI_HLU1
240,HLU1_TH3131_PV,,THS3131与TI3131D高选,DEGC,600,0,TH3131.PV,RDI_HLU1
241,HLU1_TH3131W_PV,,THS3131W与TI3131DW高选,DEGC,600,0,TH3131W.PV,RDI_HLU1
242,HLU1_TH3132_PV,,（TI3132A、B、C、D高选）,DEGC,600,0,TH3132.PV,RDI_HLU1
243,HLU1_THC3143A_PV,,,,99999,-99,TV3143AA.MV,RDI_HLU1
244,HLU1_THC3143B_PV,,,,99999,-99,TV3143AB.MV,RDI_HLU1
